Subject,Number,Description
ACCY,575,develops knowledge regarding role methods implications business data analytics accounting building prior coursework fundamentals statistical analysis businessdata analytics provides opportunity related theoretical practical principles variety accounting scenarios audit tax fraud identification detection financial reporting managerial accounting professional
ACCY,576,focuses developing python skills assembling business data taught within context multiple accounting settings eg financial statement data stock data loan data pointofsale data etc professional
ACCY,577,introduces machine learning algorithms applications accounting problems covers classification regression clustering text analysis time series analysis also discusses feature importance model optimization professional
ACCY,578,develops knowledge regarding role methods implications business data analytics accounting via realworld applications fundamental advanced analytics principles application opportunities multiple accounting audit fraud identification detection financial accounting managerial accounting engaging foundational understanding role business data analytics accounting able knowledge realworld clients business decisions etc professional sections require completion denoted requiring
ACCY,590,formalized learning experience combination practice accounting engaged internship public accounting firm business offcampus organization prior learning plan summary report learning experience open accountancy departments integrated bachelormaster accountancy completion accountancy appropriate internship learning plan
ACCY,593,individual investigations research projects selected subject adviser executive officer accounting
ACCY,594,seminars various accounting designed enhance research abilities doctoral assist preparing research proposals behavioral dimensions public sector tax auditing managerial others announced
ACCY,599,individual direction guidance writing theses seminar discussion progress made
ACE,100,provides microeconomics examining individual household decisionmaking regarding spend income many work decisionmaking firms production quantities many workers hire price charge maximize profits wellbeing consumers competitive markets compared oligopolies monopolies role government markets fail eg environmental antitrust labor market issues etc toward graduation earned
ACE,161,instruction practice solving datarelated problems microcomputers general purpose software packages
ACE,199,experimental special topic agricultural consumer economics topic except accordance code
ACE,210,applies economic tools analyze environmental problems public policy formation study human behavior understand environmental problems occur choice policy tools address problems explore critique current environmental policies us globally rigorous constructive manner role privatesector agents solving environmental problems build capacity critical thinking problemsolving
ACE,221,negotiation emphasis practical useful knowledge throughout financial lives negotiating job offers auto purchases sales residential purchases sales nps earned
ACE,231,overview management food agribusiness sector covered food agribusiness sector environment firm fundamentals structural design change organizations leadership motivation communication planning control coverage introductory focus textbook material current issues
ACE,232,economic principles applied management farms budgeting system analysis record analysis financial management lease analysis problems related resource appraisal business organization also addressed
ACE,240,principles financial planning applied individuals households attention organizing analyzing financial information budgeting acquiring financial assets managing planning taxes investments risk management retirement estate planning
ACE,251,examination global food production consumption trade problems hunger population role agricultural development trade aid relieving hunger
ACE,254,systems production exchange africa lectures discussions readings films participants study ways african people interact local markets impact national international markets welfare
ACE,262,statistics key tool data analysis process involves data collection data description data analysis results interpretation discusses collect data analyze data descriptive statistics descriptive statistics help summarize data meaningful way identify possible patterns also introduces random variables probability distributions hypothesis testing simple linear regression theoretical underpinnings concepts emphasis placed examples field economics represented well content enhances critical thinking skills ability appropriate models professional everyday problems toward graduation earned
ACE,264,offers statistical econometric tools describe understand common economic issues emphasis multiple regression model associated extensions regularly used overcome traditional econometric issues introduce advanced statistical software handson exercises prior experience software expected toward graduation earned
ACE,270,study consumer american economy sources consumer information consumer protection examination current consumer issues within economic framework
ACE,293,supervised offcampus experience field directly pertaining subject matter agricultural consumer economics independent study limited total applying cumulative gpa time internship arranged
ACE,294,supervised oncampus learning experience engaged research total independent study ind applying cumulative gpa time internship arranged
ACE,295,individual small group research special problems studies supervision appropriate member special problems research thesis individual studies counted toward cumulative gpa time activity arranged
ACE,300,could energy policy affect profitability farmers better help families developing countries food aid mini cash grants bear cost carbon tax microeconomic theory helps us answer many important questions markets human behavior learn rigorous intermediate microeconomic theory applications agriculture development finance consumer behavior environment toward graduation
ACE,306,explores legal political dimensions food policy trade united states trading partners development national state laws production distribution retail sale food evaluates current issues food regulation biotechnology organics health labeling claims food safety products liability litigation discusses food regulation countries within context international treaties world trade organization united nations
ACE,310,economic principles used analyze broad range natural resource policy management issues economic concepts developed public goods social welfare discounting dynamic efficiency resource scarcity natural resources examined biodiversity fisheries forests minerals soil water resources
ACE,344,provides dive personal finance financial planning fintech develop comprehensive understanding personal finance relies fintech create comprehensive solutions clients provide handson training modern financial planning software tools cloudbased applications additionally explores digital currencies blockchain technology lens personal finance financial planning towards graduation tch earned
ACE,345,financial decisionmaking small businesses individuals financial statement preparation analysis capital structure debt equity investment analysis portfolio theory time value money interest rates structure asset markets pricing theories evaluation financial risk insurance concepts markets financial capital suppliers addition project involving visit either lender financial planneradvisor experiences introduce services careers financial sectors
ACE,349,provides indepth view risk management insurance following case study evaluate human capital health disability life property casualty business retirement longterm care risks faced financial planning clients feature multiple lectures interviews practicing financial planning professionals content delivered utilizing life cycle approach focusing hypothetical client households risks evolve early career without dependents midcareer dependents nearretirement stages life towards graduation rm earned
ACE,360,spreadsheet development modeling skills economics finance applications advanced uses spreadsheet software development userdefined functions visual basic comparable external interface languages data query designs advanced data analyses summary presentation skills stressed serve advanced modeling specific disciplinary
ACE,396,individual research special problems thesis development design work direction honors advisor topic special problems research thesis individual studies counted toward admission honors
ACE,398,group discussion special topic field study directly pertaining subject matter agricultural consumer economics total total independent study ind applying
ACE,403,relation commonlaw principles statutory land tenure farm tenancy farm labor farm management taxation problems involving agriculture
ACE,410,economics tools understand evaluate public policy issues surrounding energy markets related environmental markets focus economic drivers energy production biofuel policy transportation storage energy commodities regulation energy markets policies designed mitigate impact energy production consumption environment
ACE,427,comprehensive indepth survey commodity price analysis emphasis fundamental factors affecting prices agricultural products sources information relating production demand factors government activities relate prices agricultural products technical analysis agricultural product prices market efficiency forecasting
ACE,428,development futures trading operation governance commodity exchanges economic functions futures trading operational procedures problems futures markets public regulation futures trading evaluation market performance
ACE,430,performance food system marketing margins transportation advertising retailing food products structure conduct performance food marketing firms industries government public interest food system
ACE,432,develop expertise evaluating making decisions similar faced farm operators managers
ACE,435,examination economic strategic management food textile agribusiness firms within global business environment global business environment institutions organizational strategies policies business operations global agricultural food textile industries
ACE,436,experiential learning international travel component designed equip participants skills successfully operate global business environment examples covered global supply chains marketing channels regulatory trade environments environmental considerations culminates twoweek immersion learn business leaders trade organizations government officials producers host country ug gr
ACE,440,capstone applies financial planning principles concepts realistic case studies specific planning needs requires comprehensive financial planning exercise covers professional ethics responsibilities completion
ACE,441,designed prepare sit series exam sie exam begin journey towards sitting cfp exam help prepare careers financial planning investment management insurance brokerage banking unions also serves review content learned financial planning concentration responsible registering paying certification exam separately exam fee ranges towards graduation fp earned
ACE,444,advanced skills understanding asset pricing equity debt investment portfolio theory diversification asset allocation financial risk management financial intermediation regulation emphasizing applications financial planning agricultural finance
ACE,446,improves ability make effective financial plans decisions involves development decision tools applied real world financial data sets planningdecisionmaking circumstances applied data management techniques designing queriesstorable forms financial statement analysis numeric optimization tools leverage assessment incorporating risk decisions capital budgeting time value money structure interest rates currency exchange knowledge spreadsheet software coverage
ACE,449,employee benefit retirement planning employersponsored individually managed options particular attention determining benefit retirement needs managing risks specific planning situations
ACE,451,economics agricultural development relationships agriculture sectors economy developing nations agricultural productivity levels living less developed world studies agricultural development different world regions africa asia latin america
ACE,456,analysis agricultural food policies programs effects producers consumers agricultural products formulation agricultural food policies examined emphasis historical current economic problems affecting agriculture rural america
ACE,474,concepts theories methods analysis micro macro aspects consumption standards content consumption description consumption patterns trends usa selected countries either statistics
ACE,476,uses applied economics finance coupled insights psychology better understand human behavior decision making application core behavioral economic concepts interventions address pressing economic financial challenges statistics
ACE,499,group discussion experimental special topic agricultural consumer economics subsequent
ACE,502,applications demand supply theories applications firm household behavior demand supply systems aggregation separability dynamics formation boundaries firm household decision making intrahousehold allocation allocation time human capital hedonics
ACE,503,provides theoretical applied treatment economic equilibrium consequences displacement equilibrium welfare levels economic agents displacement equilibrium shown brought changes government policy technology consumer preferences welfare measures partial equilibrium general equilibrium multimarket models presented various applications welfare economics analysis policy technological change least two calculus
ACE,510,economic theory used allocation renewable efficiency issues arise natural resource policy management issues
ACE,530,applied microeconometrics concentrating cross data panel data treatment effects methods estimating treatment effects rubin causal model framework emphasis placed econometric procedures relevant agricultural applied economists implementation stata mata
ACE,531,problem identification methods impact evaluation randomized field experiments propensity score matching differences differences instrumental variables regression discontinuity exercises econometric software stata
ACE,561,seminar phd written preliminary examinations develops comprehensive understanding research process discussions identification research structure research proposals review literature effective communication management research activities contributions scholarly debate
ACE,563,application mathematical programming methods discrete models agricultural economics kuhntucker theorem lagrange multipliers duality simplex method applied linear quadratic programming inputoutput analysis models agriculture
ACE,591,individual research work supervision appropriate member
ACE,592,group instruction special topic direction members total
ACE,594,participation seminar workshop members
ACE,599,individual research supervision members teaching respective fields
ACES,102,objective approach towards critical systems thinking towards collaborative analysis across multiple disciplines development production preparation consumption utilization food feed fiber energy managing disposal reuse byproducts within complex socioeconomic ecological environmental systems introduced fundamentals modern crop livestock agricultural production systems consider future challenges opportunities producing enough growing world population
ACES,199,experimental special topic agricultural consumer environmental sciences
ACES,200,campus resources campus transfer optional inter transfer first eight weeks
ACES,293,supervised learning experience designed registering academic abroad nondegree exchange enrolling academic nature experience setting takes place advance representatives institutionsorganizationsagencies cooperate exchangestudy abroad programs session written study abroad office
ACES,295,individual research special problems thesis development design work supervision appropriate member independent study limited total applying gpa time activity arranged
ACES,298,international experience agricultural consumer environmental sciences related involving foreign travel study without another institution experience planned advance consultation agricultural consumer environmental sciences member additional open probation written study abroad office
ACES,299,provides campus agricultural consumer environmental sciences study accredited foreign institutions final determination granted made upon successful completion work within calendar year session study abroad office
ACES,396,provides james scholars opportunity earn honors based fullterm international experience university study abroad academic preceding complete honors assignment related experience memorandum understanding need earn grade least b honors assignment order earn honors special problems research thesis individual studies counted toward serve honors needed meet james scholars honors requirements mou prior current james scholar honors
ADV,150,practice profession advertising material covers various functional advertising integrated brand promotion account planning creative media research consumer behavior sales promotion interactive advertising also advertising relates society cultural social ethical regulatory contexts open
ADV,175,multifaceted role diversity racial gender orientation ability status plays delivery reception advertising additionally development diversity marketplace practice development advertising industry well analyze advertising historical cultural social perspective address issues diversity industry also critically review current issues multicultural transcultural multidimensional advertising marketing process well grapple current theories race implicit explicit bias prejudice impact upon production advertising consumer communications
ADV,200,matter job plan get becoming fluent working data soughtafter skill lectures guided workshops provides handson training fundamentals data exploration asking right questions data gathering data analysis understanding describing situation well communicating data telling compelling story data visualizations learn find datasets online archives repositories introduced commonly used software packages techniques spreadsheets text analytics social computing also focus critical issues data ethics privacy also learn basic computer programming aimed data analysis prior knowledge research methods statistics programming
ADV,201,creating personal brand longer nicetohave expected vital social media influencers athletes online celebrities focuses practical strategies building maintaining strong personal brand social media career advancement social influence develop advanced social media strategy skills identify risks involved online reputation management help create authentic personal brand amplify career
ADV,250,designed help acquire brand decisionmaking skills advertising marketing theories practical problems traditional cases studied learn build strong brand strategy strong brand advertising strategy encompasses every facet making advertising decisions brand involves understanding content consumer requires consumer come contact brand goal connection consumer contentcontact toward graduation
ADV,270,focuses development sales process role sales sales people within organizations also consider consultative persuasive selling interpersonal relationship building sales proposals simulation exercises reinforce concepts learned within classroom also feature exposure sales experts different business
ADV,281,introduces wide spectrum qualitative quantitative research techniques commonly used advertising industry addition examining principles methods techniques advertising research address issues research conducted analyzing data sets forming meaningful research questions figuring answer questions presenting answers questions clear compelling manner
ADV,284,focuses methods eliciting consumer insight particular introduces process applied outcomes consumer insight building brand strategy techniques persuasive presentation insight also introduced
ADV,290,designed offer freshmen sophomores opportunity take advertisings recent developments
ADV,301,explores everyday impact influencer economy purchasing decisions political engagement social activism celebrity illustrates critical importance public relations advertising marketing communications management influencer marketing influencer relations identify evolving strategies tactics techniques drive influencer ecosystem evaluate social cultural impact influencer marketing engagement organizations audiences assess racial gender dynamics created recreated within quickly evolving marketing creative arena finally focus development influencer generated branded content across forprofit nonprofit human rights organizations eligible pr minor httpsmediaillinoiseduprminor towards graduation
ADV,310,introduces practice profession public relations material covers history public relations role ethics public relations theories guide public relations research practice also introduce roles played public relations practitioners within organizations media relations consumer relations employee relations community relations investor relations
ADV,314,sports public relations designed show management function developing sustaining twoway lines communication understanding acceptance cooperation sports organization stakeholders team athlete league organization company brand respective publics eligible pr minor
ADV,320,addresses conceptual methodological issues related management sales within organizations responsibilities function skills necessary effective sales manager covered evaluation sales organization structures recruiting selecting testing training salespeople related compensation plans controlling expenses sales forecastingprojections routing quotas ethics motivation consist lectures role playing exercises also guest lectures industry leadersalumni experience sales management principles sales
ADV,350,focuses strategy crafting delivering pr messages various audiences special emphasis prewriting preparation revision presentation
ADV,360,improve creative critical thinking skill advertising planning understanding core technology perspective digital innovative media context integrated communication allow understand consumers perceive process digital advertising messages research critical questions digital consumer behavior learn utilize digital nondigital media context integrated communication knowledge digital communication technology realworld advertising cases toward graduation advertising agricultural communications computer science advertising ag communicationsadvertising minors
ADV,370,focuses different related consumer behavior management consumers relationships sales process case studies exercises facilitate application effective sales techniques principles sales
ADV,390,explores theories creativity situates creativity creative practices within social structure organizations develop creative content relationship creative strategy creative concepts creative executions exposes practice creating content traditional nontraditional media vehicles
ADV,392,covers variety designed help learn better prepared enter advertising industry professionals content overview careers advertising industry paying particular attention future career growth centered field study participate interactive discussions industry professionals media related agencies industry businesses additional determined head
ADV,393,provides critical understanding advertisings role modern society advertising studied cultural force social institution role examined relation communications economics political legal systems earned
ADV,396,supervised participation research scholarly activities usually assistant investigator written
ADV,399,provides toward undertaking study research project led programs accredited foreign institution overseas final determination appropriate made upon completion work done abroad campus academic year case transfer residence uiuc good academic completion least thirty toward bachelors prior advertising programs additional requirements
ADV,400,special projects research independent reading advertising capable individual work guidance adviser multiple written research proposal
ADV,409,introduces foundations entrepreneurship evolving business models media introduced foundation context entrepreneurship cover skills practices necessary entrepreneurial ventures well processes evaluating idea assessing market implementing venture finally business case studies successful unsuccessful media startups media
ADV,410,intersection public relations strategies communication tactics used organizations meet reputation relationship management objectives relevant publics stakeholder groups journalists consumers employees investors government officials agencies community members
ADV,454,portfoliooriented builds upon core competencies acquired applies solving realworld advertising problems integrated creative consumer communications efforts traditional media
ADV,461,surveys emerging landscape computational advertising provide thorough understanding technologies websearch auctions behavioral targeting mechanisms viral marketing underpin display advertisements variety locations locations web pages banner ads prominent search engines text ads social media platforms well cell phones shall also learn research computational advertising electronic billboards moving objects banners atop taxi cabs algorithmic synthesis personalized advertisements also discuss issues related consumer privacy
ADV,478,designed familiarize theory research intersection advertising psychology explores issues pertaining advertising psychology basic research methodology emergence trends attitudes persuasion human brand personality crosscultural advertising implicit consumer cognition judgment decision making others psychology advertising earned
ADV,480,social media analytics science extracting valuable hidden insights vast amounts semistructured unstructured social media data enable informed insightful decision making advanced designed provide wellgrounded understanding social media analytics techniques extracting analyzing twitter analytics skills interpreting aligning insights gained organizational goals objectives towards graduation sma social media analytics earned
ADV,483,analyzes audiences matches consumer insights strategic ideas brand communication contact connection
ADV,490,covers current issues various advertising studied extensively announced separately topic
ADV,492,maturation internet advertising media channel advertising journalism communications need know technology impacts messages designs likewise computer scientists could benefit knowledge end user looking designing web content applications webbased media gain design knowledge well handson experience completing technologydriven advertising campaign participate engineering advertising project management activities individual well team responsibilities instructors advertising computer science
