Subject Code,Course Title,Description
Political Science,CONSTITUTIONAL LAW: STRUCTURES OF GOVERNMENT,"Read, Analyze, And Critique Opinions Issued By The Supreme Court Of The United States And Other Courts Identify And Articulate The Legal Doctrines Governing The Major Institutions In American Politics, Specifically In The Areas Of Judicial Power, Federalism, And The Separation Of Powers Present Oral And Written Arguments On One Or Both Sides Of Real And Hypothetical Constitutional Cases In Relevant Subject Areas"
Political Science,War and Conflict in the Post-Soviet World,"To Provide A Deeper And Broader Understanding Of Russia And Its Behaviour Vis-À-Vis Its Neighbours. To Introduce A Range Of Texts By Different Scholars Who Possess Deep Knowledge Of The Region. To Examine How Theories Of State Formation, Nationalism, And War Can Enhance Our Understanding Our Events In The Region. To Learn About Separatism And Irredentism In The Post-Soviet Region And Its Implications For Other Regions. To Communicate Complex Ideas About The Russo-Ukrainian War And Other Regional Conflicts, Clearly And Cogently, Both Orally And In Writing. To Demonstrate In-Depth Knowledge Of A Range Of Scholarship On The Post-Soviet Region And Eastern Europe. To Understand, Critically Analyse, And Evaluate Different Perspectives On Key Political Concepts. To Formulate Informed And Critical Arguments About Russia, The Post-Soviet World And Eastern Europe."
Political Science,U.S. Government,"Explain The Philosophical Theories That Led To The Writing Of The Declaration Of Independence And U.S. Constitution. Describe The Basic Principles Of American Democracy And How They Are Applied In Our Republican Form Of Government. Explain The Checks And Balances System Created By The U.S. Constitution Given To Each Branch. Analyze The Relationship Between The Individual And The Government In Pursuit Of Social, Political, And Economic Goals. Students Will Analyze How The U.S. Electoral System Impacts The Level Of Political Participation Of The Individual."
Political Science,Federal Government,"Explain The Origin And Development Of Constitutional Democracy In The United States. Demonstrate Knowledge Of The Federal System. Describe Separation Of Powers And Checks And Balances In Both Theory And Practice. Demonstrate Knowledge Of The Legislative, Executive, And Judicial Branches Of The Federal Government. Evaluate The Role Of Public Opinion, Interest Groups, And Political Parties In The Political System. Analyze The Election Process."
Political Science,Tex Govt (Tex const & topics),"Explain The Origin And Development Of The Texas Constitution. Describe State And Local Political Systems And Their Relationship With The Federal Government. Describe Separation Of Powers And Checks And Balances In Both Theory And Practice In Texas. Demonstrate Knowledge Of The Legislative, Executive, And Judicial Branches Of Texas Government. Evaluate The Role Of Public Opinion, Interest Groups, And Political Parties In Texas. Analyze The State And Local Election Process. Identify The Rights And Responsibilities Of Citizens. Analyze Issues, Policies And Political Culture Of Texas."
Political Science,U.S. Foreign Policy,Describe The Actors And Dynamics That Influence United States Foreign Policy; Evaluate Models Of Foreign Policy Decision-Making; Compare The Utility Of Foreign Policy Tools For Managing Foreign Policy Problems.
Political Science,INTRODUCTION TO AMERICAN GOVERNMENT AND POLITICS,"Summarize The Intellectual Origins Of American Government And The Impact Of The Enlightenment. Analyze And Critique The Characteristics Of An American Democratic Society. Evaluate And Critique The Evolution Of The American Government From American Revolution To The Present Day In Terms Of Capacity, Responsibilities, Expanded Roles, Handling Of Crisis, Relationship Between Citizenry And Government. Explain The Federal And State Powers Both In Terms Of The U.S. Constitution And How It Is Practiced Today. Discuss The Origins And Current Practices And Laws Of California's Branches Of Government."
Political Science,Constitutional Government and Free Enterprise,"Explain The Concept And Application Of Limited Government. List The Major Specific Provisions Of The U.S. Constitution In Its Context As A Limiting Device. Discuss The Ethics And Workings Of Free Market Processes. Analyze The Moral Arguments Against Capitalism. Examine The American Constitutional Order And System As Well As Contemporary Political And Economic Problems. Apply The Historical Biblical Christian Worldview While Practicing The Politics Of Grace. Identify The Main Features Of A Worldview, Assessing The Cultural, Political, Economic, And Industrial Implications. Relate Government And/Or Culture To Various Aspects Of Life. Apply The Christian Principles And General Practices For Effectively Engaging People From Different Social And/Or Cultural Backgrounds. Describe The Impact Of A Person’s Global Perspective On Evangelism And Cross-Cultural Engagement. Relate The Human Experience Within Various Civic And Global Structures To Participation In The Redemptive Work Of God."
Political Science,Federal Government,"Explain The Origin And Development Of Constitutional Democracy In The United States. Demonstrate An Understanding Of Our Federal System. Describe Separation Of Powers And Checks And Balances In Both Theory And Practice. Demonstrate Knowledge Of The Legislative, Executive, And Judicial Branches Of The Federal Government. Evaluate The Role Of Public Opinion, Interest Groups, And Political Parties. Analyze The Election Process. Describe The Rights And Responsibilities Of Citizens. Analyze Issues And Policies In U.S. Politics. Students Will Develop Habits Of Mind, Allowing Them To Appreciate The Processes By Which Scholars In Various Disciplines Organize And Evaluate Data And Use The Methodologies Of Each Discipline To Understand The Human Experience. Students Will Communicate Ideas, Express Feelings And Support Conclusions Effectively In Written, Oral And Visual Formats. Students Will Demonstrate A Global Perspective Toward Issues Of Culture, Society, Politics, Environment, And Sustainability. Students Will Develop Habits Of Intellectual Exploration, Personal Responsibility And Physical Well-Being."
Political Science,Federal Government,"Explain The Origin And Development Of Constitutional Democracy In The United States. Demonstrate Knowledge Of The Federal System. Describe Separation Of Powers And Checks And Balances In Both Theory And Practice. Demonstrate Knowledge Of The Legislative, Executive, And Judicial Branches Of The Federal Government. Evaluate The Role Of Public Opinion, Interest Groups, And Political Parties In The Political System. Analyze The Election Process. Describe The Rights And Responsibilities Of Citizens Analyze Issues And Policies In U.S. Politics. Critical Thinking Skills - To Include Creative Thinking, Innovation, Inquiry, And Analysis, Evaluation And Synthesis Of Information; Communication Skills - To Include Effective Development, Interpretation And Expression Of Ideas Through Written, Oral And Visual Communication. Social Responsibility : To Include Intercultural Competence, Knowledge Of Civic Responsibility, And The Ability To Engage Effectively In Regional, National, And Global Communities."
Political Science,Introduction to Politics,Employ The Methods And Data That Historians And Social And Behavioral Scientists Use To Investigate The Human Condition. Examine Social Institutions And Processes Across A Range Of Historical Periods And Cultures. Use And Critique Alternative Explanatory Systems Or Theories. Develop And Communicate Alternative Explanations Or Solutions For Contemporary Social Issues.
Political Science,Introduction to the History of Political Ideas,"A General Overview Of The Most Important Theories And Debates In The History Of Political Ideas From Antiquity To The Present. Insight Sufficient To Identify The Most Important Arguments In Favor Of And Against Democracy. Recognize And Critically Evaluate The Major Philosophical Positions And Ideologies Both In Philosophical Literature And More Generally. Communicate Parts Of These Major Philosophical Positions And Ideologies Both To The General Public And To Peers Within The Field. Evaluate The Relevance Of Topics, Concepts And Arguments From These Major Philosophical Positions For Political Thinking As Well As For The General Public. To Be Able To Come Up With And Understand Important Literature Within The History Of Political Ideas, And To Communicate The Substance Of This Literature To The General Public As Well As To Academic Peers. To Use And Evaluate The Relevance Of Concepts, Arguments And Methods From The Major Philosophical Positions And The Ideologies Introduced In The Course, Both To Peers And To The General Public. To Recognize And To Critically Evaluate Types Of Argumentation In Academic And General Texts Based On The Knowledge The Subject Conveys."
Political Science,National Government,"Be Able To Analyze The Federal Structure Of The United States Constitution. Compare And Contrast The Different Branches Of The Federal Government In The United States. Analyze The Structure Of The U.S. Constitution As It Relates To Individual And Factions. Students Will Apply Critical And Creative Thinking Skills To Analyze, Evaluate, And Synthesize Ideas. Students Will Demonstrate An Understanding Of Diverse Perspectives And Their Influence On Individual, Social, Historical, And Political Events Or On Cultural Expression. Students Will Demonstrate Effective Information Literacy Skills By Locating, Evaluating And Effectively And Ethically Using Information To Achieve An Academic Or Professional Purpose. Students Will Demonstrate Effective Information Literacy Skills By Locating, Evaluating, And Effectively And Ethically Using Information To Achieve An Academic Or Professional Purpose. Analyze Various Social Science Concepts In Order To Demonstrate An Understanding Of Social And Political Structures. Compare And Contrast Findings From Various Social Science Specializations To Explain Diverse Perspectives And Their Influence On Sociocultural And Global Events. Apply Social Science Theories And Research Findings To Individual And Group Experiences. Students Will Demonstrate Effective Information Literacy Skills By Locating Information Using Appropriate Tools, In An Ethical Manner, From Sources Which Are Reliable, Relevant And Authoritative, Such That The Process Expands And Deepens Their Understanding Of The Subject Matter. Students Will Develop And Demonstrate An Understanding Of The Basic Principles And Practices Of American Democracy And How They Are Applied In Our Republican Form Of Government. Students Will Develop And Demonstrate An Understanding Of The United States Constitution And Its Application. Students Will Develop And Demonstrate Knowledge Of The Founding Documents And How They Have Shaped The Nature And Functions Of Our Institutions Of Self-Governance. Students Will Develop And Demonstrate An Understanding Of Landmark Supreme Court Cases, Landmark Legislation, And Landmark Executive Actions And Their Impact On Law And Society. Students Will Find, Operate. And/Or Utilize Digital Tools For Academic And Professional Purposes. Students Will Use Digital Tool(S) To Create, Modify, And/Or Organize Content. Students Will Use Digital Tool(S) And/Or Communicate Content Effectively"
Political Science,Comparative Political Systems,"Describe A Comprehensive Overview Of World Political Cultures And Governmental Structures. Explain And Compare The Diversity Of Political Values, Institutions And Issues In Political Systems Around The World. Utilize Critical Thinking And Analytical Skills To Compare, Contrast And Evaluate The Political Institutions And Histories Of Diverse Cultures. Analyze The United States' Political System--Its Strengths, Weaknesses, And Cultural Uniqueness--Through The Method Of Comparison. Explain How Different Political Systems Resolve Conflict Of Interest Among Diverse Populations. Identify How Constitutions, Institutions And Policy Making Of Different Political Systems Establish Political, Social And Economic Order. Describe How Political Socialization And Political Culture Affect The Way Citizens Of Different Political Systems Analyze How Political Ideologies, Political Parties And Public Policy Resolve Or Create Conflicts Within Different Political Systems. Describe How Various Institutions Of Government And Society Shape The Political Cultures Of Citizens Of Different Political Systems. Evaluate How Citizens Of Diverse Backgrounds Can Affect Policy Making By Participating In Elections, Interest Groups And Political Parties. Explain How Historical Events Create Changes In Political Institutions And Political Culture And How These Events Affect Contemporary Institutions Of Different Political Systems."
Political Science,Federal Government,"Explain The Origin And Development Of Constitutional Democracy In The United States. Demonstrate Knowledge Of The Federal System. Describe Separation Of Powers And Checks And Balances In Both Theory And Practice. Demonstrate Knowledge Of The Legislative, Executive, And Judicial Branches Of The Federal Government. Evaluate The Role Of Public Opinion, Interest Groups, And Political Parties In The Political System. Analyze The Election Process. Describe The Rights And Responsibilities Of Citizens. Analyze Issues And Policies In U.S. Politics. Express Oneself With Precision And Clarity, Whether Orally Or In Writing."
Political Science,Fed Govt (Fed const & topics),"Explain The Origin And Development Of Constitutional Democracy In The United States. Demonstrate Knowledge Of The Federal System. Describe Separation Of Powers And Checks And Balances In Both Theory And Practice. Demonstrate Knowledge Of The Legislative, Executive, And Judicial Branches Of The Federal Government. Evaluate The Role Of Public Opinion, Interest Groups, And Political Parties In The Political System. Analyze The Election Process. Describe The Rights And Responsibilities Of Citizens. Analyze Issues And Policies In The U.S. Politics."
Political Science,AAS Internship C: Career Exploration,"Set Focused Workplace Learning Objectives That Will Challenge Them To Apply Their Knowledge And Skills In A Real Life Work Environment. Develop Basic Critical Thinking And Conflict Resolution Skills Through Self-Reflection And Action, The Use Of Self-Assessment Tools And In Class Experience Exchange. Take Initiative, Problem Solve Creatively And Advocate For Themselves In The Workplace, Recognizing Professional Business Practices And Ethics. Demonstrate Research Skills To Identify Careers Of Interest And Entry Level Requirements For Those Careers, Matching Personal Strengths, Values And Skills. Identify And Develop Marketable Skills Required For Success In Future Internships And Entry Level Jobs By Refining Resume, Cover Letters And Linkedin Profiles."
Political Science,Intro to International Politics,"To Introduce The Student To The Basic Concepts, History, Approaches And Theories Of International Politics To Provide The Student With Contextual Understanding And Sufficient Factual Background To Assess International Relations Theories And Concepts. To Discuss The Essential Elements In The Governing Process Through Illustrations From Various Political Systems; Explain Differences In The Normative And Scientific Approaches To International Politics; Illustrate The Role Of International Politics In Their Everyday Lives; Able To Analyze The Cultural, Economic, Political And Social Aspects Of Contemporary International Issues; Write Clearly About International Politics Events And Effectively Defend Their Opinions And Interpretations."
Political Science,Knowledge Production in Peace-building: Practices and Processes,"Identify, Describe And Account For The Role Of Power In Processes Of Knowledge Production. Critically Reflect On The Effects Of Knowledge Upon The Practice Of Peacebuilding. Demonstrate Empirical Awareness About A Wide Range Of Contemporary Peacebuilding Contexts. Work In A Team To Develop Solutions To Problems, And To Critically Reflect On The Process By Which These Problems Were Addressed. Demonstrate An Understanding Of A Wide Range Of Approaches Relevant To International Peacebuilding Interventions. The Ability To Pursue Independent Learning And To Show Critical Judgement."
Political Science,AMERICAN NATIONAL GOVERNMENT,"Describe The Emergence Of The American Political Regime And Its Major Changes Over Time. Analyze The Concept Of Federalism And The Power Relationship Between The Federal And State Governments. Identify The Structure And Functions Of Political Parties And Interest Groups As Vehicles Of Interest Articulation And Participation In The Democratic Process. Think Critically About The Effectiveness Of Various Forms Of Political Participation Such As Elections And Voting, Citizen-Lobbying, Non-Violent Protest, And Media/Internet Advocacy. Identify The Structure And Functions Of The Legislative, Executive And Judicial Branches Of The American National Government. Evaluate The Relative Success And Effectiveness Of American Political Institutions In Fulfilling The Goals Of A Diverse, Multicultural Society."
Political Science,Political Science Methods,Understand The Steps For Conducting Political Science Research. Locate Social Science Studies On Any Topic Of Interest And Distinguish Between Scholarly And Popular Publications. Understand How To Collect Data Suitable For Political Science Research. Identify The Research Design Used In Any Study And Potential Weaknesses That May Threaten The Validity Of The Findings.
Political Science,Global Social Policy,"Demonstrate Understanding Of The Concepts Of Globalisation, Social Policy, Welfare State And International Relations In The Social Science Literature; Grasp The Dynamics Among Main Actors To Affect Global Social Policy: States, Businesses, Non-Governmental And Supra-National Organisations, Citizens, And Non-State Organised Political Actors; Demonstrate Understanding Of The Key Concepts In Comparative Social Policy Analysis."
Political Science,Key Concepts in International Disaster Manageent and Humanitarian Response,"Key Theoretical Concepts Which Underpin The Analysis Of Humanitarianism, Conflict Response And International Disaster Management The Practical And Operational Implications Of These Concepts And Understandings To Be Able To Use These Concepts To Analyse Examples Of Practice From The Field Introductory Grasp Of The History Of These Debates In The Academic Literature Navigate Complex Theoretical Debates And Relate Them To Events And Issues In Practice Compare And Contrast Narratives Originating From Different Sources Identify Different Methodologies And/Or Disciplinary Orientations In Academic Literature Reflect Upon Current Events And Actors With Reference To A Historical Perspective Information Management Skills, Requiring Evaluation, Synthesis, And Record-Keeping. Research Skills, Including Planning, Prioritisation Of Tasks, Identification And Location Of Primary And Secondary Sources, Evaluation Of Findings. Essay-Writing Skills Related To The Analysis Of A Specific Question, Construction Of Arguments, Assessment And Deployment Of Evidence, Writing Style. Putting Together And Maintaining Arguments (Useful For A Marketing/Awareness Campaign Or Business Case) Oral And Communication Skills - Especially In Terms Of Comprehending Large Amounts Of Information And Drawing Reasoned Conclusions Working Autonomously And In Groups"
Political Science,"Science, Technology, and International Affairs I",Students Will Be Able To Identify Enduring And Emerging Strategic Debates About Different Categories Of Military Technology. Students Will Learn To Apply International Relations Theory To Analyze The Grand Strategic Context Of Military Technology. Students Will Develop Research Skills In Order To Produce A Research Or Policy Paper On Specific Technological And Scientific Issues In International Affairs. Students Will Be Able To Apply Advanced Research Skills In Producing Publishable Research That Contributes To The Body Of Scholarly Work In Technology And International Affairs.
Political Science,Introduction to American Government,"Students Will Develop And Demonstrate A Greater Awareness Of The Role Of The Citizen In The American System And An Ability To Become More Politically Aware And Active In The Local And Global Community. Students Will Develop And Demonstrate An Understanding Of Landmark Supreme Court Cases, Landmark Legislation, And Landmark Executive Actions And Their Impact On Law And Society. Students Will Develop And Demonstrate An Understanding Of Political And Policy-Making Institutions, The American System Of Separated Power And Checks And Balances, The Role Of State And Local Government In A Federal System, U.S. National Interests And Domestic And Foreign Policy Making. Students Will Develop And Demonstrate An Understanding Of The Basic Principles And Practices Of American Democracy And How They Are Applied In Our Republican Form Of Government. Students Will Develop And Demonstrate An Understanding Of The United States Constitution And Its Application. Students Will Develop And Demonstrate Knowledge Of The Founding Documents And How They Have Shaped The Nature And Functions Of Our Institutions Of Self-Governance."
Political Science,Contemporary Global Issues,Identify The Issues Of Globalization Affecting The Host Country Compare The Global Issues Of The Host Country With Those Of The Student’s Home Country Evaluate The Causes Of Conflict Between Cultures In The Country Of Destination Analyze The Areas Of Peace And/Or Conflict Caused By The Interaction Of State And Religion Apply International Human Rights To Social Justice Case Studies In The Host Country.
Political Science,Global Politics,Students Will Develop An Understanding Of The Implications Of Adopting A Particular Theoretical Perspective As Well As The Skills With Which To Critically Test Various Perspectives Against A Range Of More Concrete Issues In Global Political Relations. Develop An Appreciation For How Stories Shape Not Only Our Understanding Of But Also The Practice Of Global Politics. Become Familiar With Major Debates Shaping Disciplinary International Relations And The Often Tenuous Assumptions That Underpin Them. Learn To Recognize And Understand The Implications Of Leaving Out Or Marginalizing Some Stories And Their Accounts Of Who And What Matters In Global Politics. Sharpen Critical Analytical Faculties And Build On Oral And Written Communication Skills In Assignments And Weekly Tutorial Discussions.
Political Science,Model Global Political Economy,"Distinguish And Describe Distinct Theoretical Explanations Of The Development Of The Global Political Economy And The Interaction Between Economic And Political Processes And Outcomes Differentiate The Different Institutional Frameworks And Political Paths Through Which Nation-States, International Governmental Institutions, And Transnational Organizations Interact And Collectively Compose And Develop The Global Political Economy Explain The Major International And Global Issues, Points And Processes Of Negotiations, And International Treaties And Agreements That Frame And Regulate The Policy-Issue Areas Treated In This Course Accurately Differentiate And Describe Distinct Levels And Units Of Analysis Employed In The Study Of The Global Political Economy In A Research Paper And Through A Written Exam Define The Theoretical Paradigms Of Liberalism, Realism, And World-Systems Theory Effectively Describe, Through A Verbal/Audio Presentation, The Actors (By Unit Of Analysis), Institutions, And Processes Through Which Global Policy Issue Areas"
Political Science,The international Human Rights Regime,"Explain The Emergence Of The Modern International Human Rights Consensus. Identify The Actors And Institutions Which Comprise The Modern Human Rights Regime. Formulate A Historically Grounded Assessment Of The Past And Present Impact Of The Modern International Human Rights Consensus. Evaluate The Various Ways The Human Rights Regime Is Upheld And Enforced, From An International Relations Theory Perspective. Judge The Merits Of Scholarly Critiques Of The International Human Rights Regime."
Political Science,Constitutional Law,"Explain Australia's Adherence To Fundamental Constitutional Principles Including Federalism, The Rule Of Law, Separation Of Powers, Representative And Responsible Government And Assess Competing Theories Of Constitutional Interpretation; Critique The Social And Historical Context Of Australian Constitutional Law, Including The Relationship Between Aboriginal And Torres Strait Islander Peoples And The Australian Constitutions; Understand And Apply Distinctive Methods Of Constitutional Interpretation To Solve Problems Regarding Constitutional Validity Of Commonwealth, State Or Territory Laws, And Exercise Of Executive And Judicial Power; Critically Evaluate The Role Of Constitutional Law In Shaping The Social And Political Landscape, Including Constitutional Reform And The Protection Of Rights And Freedoms."
Political Science,The Extreme Right in Western Europe,"Introduce Students To The Theoretical Perspectives, Empirical Approaches And Key Bodies Of Literature To Analysing Right-Wing Extremism And Right-Wing Extremist Parties And Voters Enhance Critical Skills Needed To Analyse Complex Theories And Concepts Related To The Study Of Right-Wing Extremism, To Evaluate How We Best Define These Concepts, And To Apply These Definitions To Real Life Case Studies Cultivate Skills Needed To Effectively Engage In Empirical And Comparative Research In The Field Of Political Ideologies, Party Politics And Psephology Enhance Skills Needed To Effectively Assess And Evaluate The Impact Of Contemporary Right-Wing Extremism On Public Debate, Party Competition And Policy-Making, And To Relate The Academic Study Of Right-Wing Extremism To Questions Of Public And Political Concern Enhance Communication Skills (Both Oral And Written) And Experience Of Working In A Team Assess The Impact Of Right-Wing Extremism On Public Debate, Policy-Making And Party Competition Across Western Europe And Relate The Academic Study Of Right-Wing Extremism To Questions Of Public And Political Concern Apply Definitions And Classifications Of Right-Wing Extremism To Case Studies So As To Compare And Contrast The Ideologies"
Political Science,NATIONS AND STATES/DEVELOPED WORLD,"Become Familiar With The Main Theories And Debates In The Study Of Nationalism. Relate Them To Other Topics In Political Science. Learn To Apply The Theoretical Lenses To Case Studies Drawn From North America, Western Europe, The Balkans, And The Former USSR. Be Able To Navigate Contemporary Political Science, Including New Research In Thematic Sub-Field Journals On Nation And Ethnicity."
Medicine,Mental Health and Occupational Therapy,Articulate The Professional Role Of Occupational Therapists In A Multi-Disciplinary Mental Health Team; Apply Theoretical And Practical Knowledge Of Recovery; Demonstrate Occupational Therapy Process And Practice In Contemporary Mental Health Contexts; Compare The Medical And Social Models Of Disability In Mental Health And Their Impact On Individuals.
